id,tag,text
204,"[204, 'p12', 'verse', 'v36', 'content']",Then Joshua and all Israel with him went up from Eglon to
205,"[205, 'p12', 'verse', 'v36', 'note', 'x']",#ch.15:13;Judg. 1:10;See ch.14:13-15
206,"[206, 'p12', 'verse', 'v36', 'content']",Hebron. And they fought against it
207,"['v036_ESV_JOS_010', 207, 'p12', 'verse', 'v36', 'plain_text']",36 Then Joshua and all Israel with him went up from Eglon to Hebron. And they fought against it
208,"[208, 'p12', 'verse', 'v37', 'label']",37
209,"[209, 'p12', 'verse', 'v37', 'content']","and captured it and struck it with the edge of the sword, and its king and its towns, and every person in it. He left none remaining, as he had done to Eglon, and devoted it to destruction and every person in it."
210,"['v037_ESV_JOS_010', 210, 'p12', 'verse', 'v37', 'plain_text']","37 and captured it and struck it with the edge of the sword, and its king and its towns, and every person in it. He left none remaining, as he had done to Eglon, and devoted it to destruction and every person in it."
211,"[211, 'p13', 'verse', 'v38', 'label']",38
212,"[212, 'p13', 'verse', 'v38', 'content']",Then Joshua and all Israel with him turned back to
213,"[213, 'p13', 'verse', 'v38', 'note', 'x']",#See ch.15:15-17;Judg. 1:11-13
214,"[214, 'p13', 'verse', 'v38', 'content']",Debir and fought against it
215,"['v038_ESV_JOS_010', 215, 'p13', 'verse', 'v38', 'plain_text']",38 Then Joshua and all Israel with him turned back to Debir and fought against it
216,"[216, 'p13', 'verse', 'v39', 'label']",39
217,"[217, 'p13', 'verse', 'v39', 'content']","and he captured it with its king and all its towns. And they struck them with the edge of the sword and devoted to destruction every person in it; he left none remaining. Just as he had done to Hebron and to Libnah and its king, so he did to Debir and to its king."
218,"['v039_ESV_JOS_010', 218, 'p13', 'verse', 'v39', 'plain_text']","39 and he captured it with its king and all its towns. And they struck them with the edge of the sword and devoted to destruction every person in it; he left none remaining. Just as he had done to Hebron and to Libnah and its king, so he did to Debir and to its king."
219,"[219, 'p14', 'verse', 'v40', 'label']",40
220,"[220, 'p14', 'verse', 'v40', 'content']","So Joshua struck the whole land, the hill country and the Negeb and the lowland"
221,"[221, 'p14', 'verse', 'v40', 'note', 'x']",#ch.12:8
222,"[222, 'p14', 'verse', 'v40', 'content']","and the slopes, and all their kings. He left none remaining,"
223,"[223, 'p14', 'verse', 'v40', 'note', 'x']","#Deut. 20:16,17"
224,"[224, 'p14', 'verse', 'v40', 'content']","but devoted to destruction all that breathed, just as the"
225,"[225, 'p14', 'verse', 'v40', 'nd']",Lord
226,"[226, 'p14', 'verse', 'v40', 'content']",God of Israel commanded.
227,"['v040_ESV_JOS_010', 227, 'p14', 'verse', 'v40', 'plain_text']","40 So Joshua struck the whole land, the hill country and the Negeb and the lowland and the slopes, and all their kings. He left none remaining, but devoted to destruction all that breathed, just as the Lord God of Israel commanded."
228,"[228, 'p14', 'verse', 'v41', 'label']",41
229,"[229, 'p14', 'verse', 'v41', 'content']",And Joshua struck them from
230,"[230, 'p14', 'verse', 'v41', 'note', 'x']",#Deut. 9:23
231,"[231, 'p14', 'verse', 'v41', 'content']","Kadesh-barnea as far as Gaza, and all the country of"
