id,tag,text
130,"[130, 'p5', 'verse', 'v22', 'note', 'x']",#ch.49:4;1 Chr. 5:1;[2 Sam. 16:22;20:3;1 Cor. 5:1]
131,"[131, 'p5', 'verse', 'v22', 'content']",lay with Bilhah his father’s concubine. And Israel heard of it.
132,"[132, 'p6', 'verse', 'v22', 'content']",Now the sons of Jacob were twelve.
133,"['v022_ESV_GEN_035', 133, 'p5', 'verse', 'v22', 'plain_text']","22 While Israel lived in that land, Reuben went and lay with Bilhah his father’s concubine. And Israel heard of it. Now the sons of Jacob were twelve."
134,"[134, 'p6', 'verse', 'v23', 'label']",23
135,"[135, 'p6', 'verse', 'v23', 'content']",The sons of Leah:
136,"[136, 'p6', 'verse', 'v23', 'note', 'x']","#For ver. 23-26, see ch.46:8-27;Ex. 1:2-4"
137,"[137, 'p6', 'verse', 'v23', 'content']","Reuben (Jacob’s firstborn), Simeon, Levi, Judah, Issachar, and Zebulun."
138,"['v023_ESV_GEN_035', 138, 'p6', 'verse', 'v23', 'plain_text']","23 The sons of Leah: Reuben (Jacob’s firstborn), Simeon, Levi, Judah, Issachar, and Zebulun."
139,"[139, 'p6', 'verse', 'v24', 'label']",24
140,"[140, 'p6', 'verse', 'v24', 'content']",The sons of Rachel: Joseph and Benjamin.
141,"['v024_ESV_GEN_035', 141, 'p6', 'verse', 'v24', 'plain_text']",24 The sons of Rachel: Joseph and Benjamin.
142,"[142, 'p6', 'verse', 'v25', 'label']",25
143,"[143, 'p6', 'verse', 'v25', 'content']","The sons of Bilhah, Rachel’s servant: Dan and Naphtali."
144,"['v025_ESV_GEN_035', 144, 'p6', 'verse', 'v25', 'plain_text']","25 The sons of Bilhah, Rachel’s servant: Dan and Naphtali."
145,"[145, 'p6', 'verse', 'v26', 'label']",26
146,"[146, 'p6', 'verse', 'v26', 'content']","The sons of Zilpah, Leah’s servant: Gad and Asher. These were the sons of Jacob who were born to him in Paddan-aram."
147,"['v026_ESV_GEN_035', 147, 'p6', 'verse', 'v26', 'plain_text']","26 The sons of Zilpah, Leah’s servant: Gad and Asher. These were the sons of Jacob who were born to him in Paddan-aram."
148,"[148, 'p7', 'verse', 'v27', 'label']",27
149,"[149, 'p7', 'verse', 'v27', 'content']",And Jacob came to his father Isaac at
150,"[150, 'p7', 'verse', 'v27', 'note', 'x']",#ch.13:18;23:19
151,"[151, 'p7', 'verse', 'v27', 'content']","Mamre, or"
152,"[152, 'p7', 'verse', 'v27', 'note', 'x']",#ch.23:2;Josh. 14:15;15:13
153,"[153, 'p7', 'verse', 'v27', 'content']","Kiriath-arba (that is, Hebron), where Abraham and Isaac had sojourned."
154,"['v027_ESV_GEN_035', 154, 'p7', 'verse', 'v27', 'plain_text']","27 And Jacob came to his father Isaac at Mamre, or Kiriath-arba (that is, Hebron), where Abraham and Isaac had sojourned."
155,"[155, 'p7', 'verse', 'v28', 'label']",28
156,"[156, 'p7', 'verse', 'v28', 'content']",Now the days of Isaac were 180 years.
157,"['v028_ESV_GEN_035', 157, 'p7', 'verse', 'v28', 'plain_text']",28 Now the days of Isaac were 180 years.
158,"[158, 'p7', 'verse', 'v29', 'label']",29
159,"[159, 'p7', 'verse', 'v29', 'content']","And Isaac breathed his last, and he died"
160,"[160, 'p7', 'verse', 'v29', 'note', 'x']",#ch.15:15;25:8
161,"[161, 'p7', 'verse', 'v29', 'content']","and was gathered to his people, old and full of days. And"
162,"[162, 'p7', 'verse', 'v29', 'note', 'x']",#ch.25:9;49:31
163,"[163, 'p7', 'verse', 'v29', 'content']",his sons Esau and Jacob buried him.
164,"['v029_ESV_GEN_035', 164, 'p7', 'verse', 'v29', 'plain_text']","29 And Isaac breathed his last, and he died and was gathered to his people, old and full of days. And his sons Esau and Jacob buried him."
