[1, 'label']	33
['v018_ESV_DEU_033', 182, 'm5', 'verse', 'v18', 'plain_text']	18 And of Zebulun he said, “Rejoice, Zebulun, in your going out, and Issachar, in your tents.
[183, 'q1_30', 'verse', 'v19', 'label']	19
[184, 'q1_30', 'verse', 'v19', 'content']	They shall call peoples
[185, 'q1_30', 'verse', 'v19', 'note', 'x']	#Ex. 15:17;Isa. 2:3
[186, 'q1_30', 'verse', 'v19', 'content']	to their mountain;
[187, 'q2_32', 'verse', 'v19', 'content']	there they offer
[188, 'q2_32', 'verse', 'v19', 'note', 'x']	#Ps. 4:5;51:19
[189, 'q2_32', 'verse', 'v19', 'content']	right sacrifices;
[190, 'q1_31', 'verse', 'v19', 'content']	for they draw from the abundance of the seas
[191, 'q2_33', 'verse', 'v19', 'content']	and the hidden treasures of the sand.”
['v019_ESV_DEU_033', 192, 'q1_30', 'verse', 'v19', 'plain_text']	19 They shall call peoples to their mountain; there they offer right sacrifices; for they draw from the abundance of the seas and the hidden treasures of the sand.”
[193, 'm6', 'verse', 'v20', 'label']	20
[194, 'm6', 'verse', 'v20', 'content']	And
[195, 'm6', 'verse', 'v20', 'note', 'x']	#[Gen. 49:19]
[196, 'm6', 'verse', 'v20', 'content']	of Gad he said,
[197, 'q1_32', 'verse', 'v20', 'content']	“Blessed be he who enlarges Gad!
[198, 'q2_34', 'verse', 'v20', 'content']	Gad crouches
[199, 'q2_34', 'verse', 'v20', 'note', 'x']	#[1 Chr. 12:8]
[200, 'q2_34', 'verse', 'v20', 'content']	like a lion;
[201, 'q2_35', 'verse', 'v20', 'content']	he tears off arm and scalp.
['v020_ESV_DEU_033', 202, 'm6', 'verse', 'v20', 'plain_text']	20 And of Gad he said, “Blessed be he who enlarges Gad! Gad crouches like a lion; he tears off arm and scalp.
[203, 'q1_33', 'verse', 'v21', 'label']	21
[204, 'q1_33', 'verse', 'v21', 'note', 'x']	#SeeNum. 32:1-5,16-19
[205, 'q1_33', 'verse', 'v21', 'content']	He chose the best of the land for himself,
[206, 'q2_36', 'verse', 'v21', 'content']	for there a commander’s portion was reserved;
[207, 'q1_34', 'verse', 'v21', 'content']	and
[208, 'q1_34', 'verse', 'v21', 'note', 'x']	#Num. 32:31,32;SeeJosh. 1:12-15;1 Chr. 5:18-22
[209, 'q1_34', 'verse', 'v21', 'content']	he came with the heads of the people,
[210, 'q2_37', 'verse', 'v21', 'content']	with Israel he executed the justice of the
[211, 'q2_37', 'verse', 'v21', 'nd']	Lord
[212, 'q2_37', 'verse', 'v21', 'content']	,
[213, 'q2_38', 'verse', 'v21', 'content']	and his judgments for Israel.”
['v021_ESV_DEU_033', 214, 'q1_33', 'verse', 'v21', 'plain_text']	21 He chose the best of the land for himself, for there a commander’s portion was reserved; and he came with the heads of the people, with Israel he executed the justice of the Lord , and his judgments for Israel.”
[215, 'm7', 'verse', 'v22', 'label']	22
[216, 'm7', 'verse', 'v22', 'content']	And
[217, 'm7', 'verse', 'v22', 'note', 'x']	#[Gen. 49:16]
[218, 'm7', 'verse', 'v22', 'content']	of Dan he said,
[219, 'q1_35', 'verse', 'v22', 'note', 'x']	#[Gen. 49:9]
[220, 'q1_35', 'verse', 'v22', 'content']	“Dan is a lion’s cub
[221, 'q2_39', 'verse', 'v22', 'note', 'x']	#[Josh. 19:47;Judg. 18:27]
[222, 'q2_39', 'verse', 'v22', 'content']	that leaps from Bashan.”
['v022_ESV_DEU_033', 223, 'm7', 'verse', 'v22', 'plain_text']	22 And of Dan he said, “Dan is a lion’s cub that leaps from Bashan.”
[224, 'm8', 'verse', 'v23', 'label']	23
[225, 'm8', 'verse', 'v23', 'content']	And
[226, 'm8', 'verse', 'v23', 'note', 'x']	#[Gen. 49:21]
[227, 'm8', 'verse', 'v23', 'content']	of Naphtali he said,
[228, 'q1_36', 'verse', 'v23', 'content']	“O Naphtali, sated with favor,
[229, 'q2_40', 'verse', 'v23', 'content']	and full of the blessing of the
[230, 'q2_40', 'verse', 'v23', 'nd']	Lord
